author,code,name
365,[06549],São Paulo
14 Bis,[01039],Bola De Meia Bola De Gude
14 Bis,[50002],Bola De Meia Bola De Gude
14 Bis,[50003],Espanhola
14 Bis,[03755],Linda Juventude
14 Bis,[50004],Linda Juventude
14 Bis,[07392],Natural
14 Bis,[54789],Natural
14 Bis,[06074],Planeta Sonho
14 Bis,[50005],Planeta Sonho
14 Bis,[07693],Romance
14 Bis,[06197],Todo Azul Do Mar
14 Bis,[50006],Todo Azul Do Mar
14 Bis,[50007],Uma Velha Canção
14 Bis,[09556],Uma Velha Canção Rock'N'Roll
1Kilo,[50001],Deixe Me Ir
1Kilo,[54793],Deixe Me Ir
1Kilo,[85709],Reza Sincera (Cypher)
5 A Seco part. Maria Gadu,[15225],Em Paz
A Banda Mais Bonita Da Cidade,[15450],Canção Pra Não Voltar
A Banda Mais Bonita Da Cidade,[02748],Oração
A Cor Do Som,[06402],Abri A Porta
A Cor Do Som,[50019],Abri A Porta
A Cor Do Som,[07175],Menino Deus
A Cor Do Som,[50020],Menino Deus
A Cor Do Som,[17247],Semente Do Amor
A Cor Do Som,[15200],Viva
A Cor Do Som,[07480],Zanzibar
A Cor Do Som,[50021],Zanzibar
A Molecada,[50022],A Barata E Marcha Soldado
A Molecada,[50027],É De Chocolate
A Molecada,[50023],Fui Morar Numa Casinha
A Molecada,[50024],O Pato Pateta
A Molecada,[50025],Samba Lele
A Molecada,[50026],Unidunite
A Turma Da Monica,[07548],Ser Crianca É Bom
A Turma Do Balão Magico,[07505],A Galinha Magricela
A Turma Do Balão Magico,[50536],A Galinha Magricela
A Turma Do Balão Magico,[59085],A Galinha Magricela
A Turma Do Balão Magico,[59086],Amigos Do Peito
A Turma Do Balão Magico,[02883],Bombom (Maria Isabel)
A Turma Do Balão Magico,[59087],Depende De Nós
A Turma Do Balão Magico,[50028],É Tão Lindo
A Turma Do Balão Magico,[59091],É Tão Lindo
A Turma Do Balão Magico,[02912],Juntos (Juntos)
A Turma Do Balão Magico,[50029],Lindo Balão Azul
A Turma Do Balão Magico,[59088],Lindo Balão Azul
A Turma Do Balão Magico,[54434],O Pato Pateta
A Turma Do Balão Magico,[59089],Pato Pateta
A Turma Do Balão Magico,[02928],Se Enamora (E' L' Amore)
A Turma Do Balão Magico,[50030],Super Fantástico
A Turma Do Balão Magico,[59090],Super Fantástico
A vigilia,[05608],Estamos Aqui
A vigilia,[05614],Jeová É O Teu Cavaleiro
A vigilia,[05617],Jesus Te Entronizamos
A vigilia,[05636],Renova-Me
A Zorra,[09574],A Cor Da Esperança
